epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,5120.67,0.35483,0.34251,0.82141,0.98355,0.99609,0.99487,0.9312,0.33061,0.28752,0.80607,0.000259938,0.000259938,0.000259938
179,5149.39,0.36548,0.34625,0.81074,0.98482,0.99583,0.99487,0.94069,0.31082,0.28549,0.80593,0.000257875,0.000257875,0.000257875
180,5179.37,0.36731,0.35161,0.82105,0.98502,0.99491,0.99487,0.9424,0.30386,0.28579,0.80596,0.000255813,0.000255813,0.000255813
181,5208.27,0.38717,0.39032,0.83054,0.98839,0.99163,0.99487,0.93282,0.32479,0.2879,0.80558,0.00025375,0.00025375,0.00025375
182,5236.95,0.38242,0.36647,0.82847,0.98841,0.9917,0.99487,0.94131,0.32553,0.28776,0.80586,0.000251687,0.000251687,0.000251687
183,5267.18,0.37145,0.34781,0.82787,0.98908,0.99437,0.995,0.94165,0.30084,0.28409,0.80483,0.000249625,0.000249625,0.000249625
184,5297.07,0.39214,0.37395,0.8376,0.99005,0.99302,0.995,0.94368,0.30632,0.28095,0.80487,0.000247563,0.000247563,0.000247563
185,5327.85,0.39423,0.38354,0.83234,0.98992,0.99203,0.995,0.93423,0.3228,0.28461,0.80369,0.0002455,0.0002455,0.0002455
186,5356.88,0.37344,0.3708,0.82903,0.98993,0.99233,0.995,0.93724,0.30538,0.28303,0.80304,0.000243437,0.000243437,0.000243437
187,5385.81,0.37319,0.34885,0.8256,0.99088,0.99228,0.995,0.93438,0.30426,0.28102,0.80319,0.000241375,0.000241375,0.000241375
188,5416.68,0.37931,0.37671,0.82954,0.99005,0.99267,0.995,0.93552,0.32897,0.29122,0.80241,0.000239313,0.000239313,0.000239313
189,5445.03,0.37795,0.3728,0.82407,0.99025,0.99249,0.995,0.94647,0.30262,0.28345,0.80155,0.00023725,0.00023725,0.00023725
190,5474.77,0.36678,0.35185,0.82763,0.99047,0.99221,0.9948,0.95872,0.30216,0.28003,0.80209,0.000235188,0.000235188,0.000235188
191,5503.64,0.37388,0.35849,0.82831,0.99052,0.99169,0.9948,0.94542,0.33003,0.28426,0.80329,0.000233125,0.000233125,0.000233125
192,5532.35,0.36291,0.35097,0.82656,0.98775,0.99187,0.9948,0.93992,0.30788,0.28037,0.80411,0.000231062,0.000231062,0.000231062
193,5561.04,0.36812,0.3672,0.82654,0.97765,0.99474,0.9948,0.9411,0.29678,0.28589,0.80477,0.000229,0.000229,0.000229
194,5590.04,0.37444,0.37426,0.81796,0.97823,0.99361,0.9948,0.93389,0.30924,0.28592,0.80316,0.000226938,0.000226938,0.000226938
195,5619.7,0.36446,0.36427,0.82616,0.98678,0.99032,0.9948,0.93895,0.29658,0.27732,0.80083,0.000224875,0.000224875,0.000224875
196,5648.78,0.36871,0.36165,0.81977,0.98966,0.99299,0.995,0.94886,0.28077,0.27269,0.79901,0.000222813,0.000222813,0.000222813
197,5678.56,0.37302,0.35667,0.82667,0.98681,0.99507,0.995,0.95333,0.29164,0.27357,0.79906,0.00022075,0.00022075,0.00022075
198,5708.15,0.3747,0.36434,0.81611,0.98556,0.9951,0.99487,0.938,0.32038,0.28576,0.80285,0.000218688,0.000218688,0.000218688
199,5737.96,0.34711,0.33686,0.81714,0.98457,0.99545,0.99433,0.95535,0.30006,0.27835,0.80158,0.000216625,0.000216625,0.000216625
200,5766.6,0.36477,0.35937,0.82551,0.98391,0.99437,0.99473,0.95729,0.29611,0.2778,0.80203,0.000214562,0.000214562,0.000214562
201,5795.06,0.36565,0.34502,0.82159,0.98445,0.99201,0.99487,0.94599,0.32855,0.28769,0.80451,0.0002125,0.0002125,0.0002125
202,5823.6,0.34895,0.34048,0.8118,0.98362,0.99387,0.995,0.94401,0.31563,0.28383,0.8025,0.000210437,0.000210437,0.000210437
203,5852.62,0.37236,0.38323,0.83688,0.9871,0.99249,0.9948,0.95086,0.2947,0.27487,0.8006,0.000208375,0.000208375,0.000208375
204,5881.49,0.36647,0.35332,0.82932,0.9899,0.99183,0.9948,0.94896,0.30183,0.27318,0.80001,0.000206313,0.000206313,0.000206313
205,5910.08,0.35805,0.33423,0.81708,0.99016,0.98658,0.9948,0.95666,0.30043,0.27937,0.79977,0.00020425,0.00020425,0.00020425
206,5939.39,0.36441,0.34708,0.82048,0.99055,0.98523,0.9948,0.96167,0.29606,0.27895,0.79977,0.000202188,0.000202188,0.000202188
207,5967.62,0.35696,0.34872,0.82509,0.98973,0.98656,0.9948,0.95893,0.29902,0.27366,0.80015,0.000200125,0.000200125,0.000200125
208,5997.26,0.36553,0.34402,0.82464,0.98871,0.99384,0.9948,0.9586,0.29301,0.27057,0.79976,0.000198063,0.000198063,0.000198063
209,6025.64,0.34053,0.33109,0.81427,0.99017,0.99315,0.9948,0.96028,0.28841,0.27005,0.79985,0.000196,0.000196,0.000196
210,6054.29,0.35876,0.34823,0.82338,0.98991,0.99215,0.9948,0.95824,0.29157,0.26878,0.80054,0.000193938,0.000193938,0.000193938
211,6082.42,0.36035,0.35358,0.82312,0.99017,0.99209,0.9948,0.94361,0.30294,0.27116,0.80146,0.000191875,0.000191875,0.000191875
212,6111.05,0.36117,0.34779,0.81873,0.99145,0.99241,0.9948,0.94548,0.30096,0.27109,0.80177,0.000189812,0.000189812,0.000189812
213,6141.05,0.35647,0.35256,0.82909,0.9914,0.99238,0.99479,0.95325,0.2847,0.26616,0.7998,0.00018775,0.00018775,0.00018775
214,6169.4,0.3502,0.34245,0.81691,0.98897,0.99303,0.99479,0.95678,0.28265,0.26423,0.79941,0.000185688,0.000185688,0.000185688
215,6198.14,0.35961,0.37121,0.82095,0.98304,0.99421,0.99478,0.95427,0.28607,0.26511,0.79972,0.000183625,0.000183625,0.000183625
216,6226.61,0.34726,0.33189,0.82036,0.98311,0.99085,0.99477,0.95103,0.30094,0.26847,0.79992,0.000181563,0.000181563,0.000181563
217,6256.57,0.36368,0.33872,0.82387,0.98618,0.99095,0.99479,0.94745,0.31899,0.27106,0.80047,0.0001795,0.0001795,0.0001795
218,6285.17,0.36518,0.34503,0.82602,0.98798,0.9909,0.9948,0.9563,0.30255,0.26744,0.79991,0.000177437,0.000177437,0.000177437
219,6313.47,0.34619,0.33637,0.81684,0.99013,0.99282,0.995,0.95629,0.3004,0.26401,0.79922,0.000175375,0.000175375,0.000175375
220,6341.5,0.34944,0.34588,0.81826,0.99077,0.99302,0.995,0.94559,0.30985,0.26372,0.79914,0.000173313,0.000173313,0.000173313
221,6370.12,0.34819,0.32185,0.81913,0.99124,0.9933,0.995,0.94472,0.29708,0.26268,0.79872,0.00017125,0.00017125,0.00017125
222,6399.83,0.35684,0.33611,0.82294,0.9911,0.9935,0.995,0.94624,0.28367,0.25893,0.79823,0.000169188,0.000169188,0.000169188
223,6429.39,0.36303,0.351,0.83093,0.9908,0.9929,0.995,0.93966,0.28669,0.26142,0.79784,0.000167125,0.000167125,0.000167125
224,6457.86,0.35644,0.33412,0.81732,0.98928,0.99254,0.995,0.93049,0.31552,0.26787,0.79928,0.000165063,0.000165063,0.000165063
225,6486.48,0.34073,0.31594,0.81947,0.98854,0.99346,0.995,0.92625,0.31842,0.2649,0.79922,0.000163,0.000163,0.000163
226,6515.54,0.34279,0.33425,0.81857,0.98887,0.99288,0.9948,0.93261,0.29714,0.26166,0.79797,0.000160938,0.000160938,0.000160938
227,6544.25,0.35774,0.34468,0.82403,0.98879,0.99246,0.9948,0.93925,0.29002,0.26189,0.79696,0.000158875,0.000158875,0.000158875
228,6573.07,0.3628,0.34515,0.8237,0.9893,0.99758,0.995,0.95205,0.27987,0.26023,0.79668,0.000156812,0.000156812,0.000156812
229,6601.55,0.34522,0.32416,0.81944,0.98808,0.99673,0.995,0.95272,0.28245,0.25794,0.79645,0.00015475,0.00015475,0.00015475
230,6630.78,0.33969,0.33244,0.81717,0.98966,0.99524,0.995,0.94916,0.28479,0.25805,0.79674,0.000152688,0.000152688,0.000152688
231,6660.7,0.34611,0.32704,0.81259,0.99136,0.99317,0.995,0.94478,0.29236,0.26184,0.79712,0.000150625,0.000150625,0.000150625
232,6689.17,0.35397,0.33645,0.82447,0.99095,0.99271,0.995,0.94945,0.29552,0.26225,0.79733,0.000148563,0.000148563,0.000148563
233,6717.54,0.3285,0.33077,0.81636,0.98964,0.99196,0.9948,0.94986,0.29143,0.26058,0.79785,0.0001465,0.0001465,0.0001465
234,6746.05,0.34482,0.32996,0.82254,0.98866,0.99248,0.9948,0.95108,0.29789,0.26089,0.79918,0.000144438,0.000144438,0.000144438
235,6774.81,0.35187,0.33527,0.81352,0.98809,0.99464,0.9948,0.95315,0.29266,0.25888,0.799,0.000142375,0.000142375,0.000142375
236,6803.5,0.35185,0.33428,0.82298,0.98839,0.99474,0.9948,0.95075,0.29923,0.25907,0.79882,0.000140313,0.000140313,0.000140313
237,6831.86,0.34472,0.32587,0.81607,0.98777,0.99417,0.9948,0.95397,0.29296,0.257,0.79822,0.00013825,0.00013825,0.00013825
238,6860.38,0.33001,0.3199,0.81552,0.98698,0.9946,0.9948,0.95666,0.2912,0.25539,0.79764,0.000136187,0.000136187,0.000136187
239,6889.92,0.36236,0.34163,0.8337,0.98662,0.99296,0.9948,0.95999,0.2791,0.25187,0.79726,0.000134125,0.000134125,0.000134125
240,6921.78,0.34864,0.33833,0.82351,0.98675,0.9918,0.9948,0.96444,0.2717,0.24809,0.79748,0.000132063,0.000132063,0.000132063
241,6950.1,0.35718,0.33432,0.8187,0.98713,0.99162,0.9948,0.96785,0.27081,0.24918,0.79755,0.00013,0.00013,0.00013
242,6978.53,0.34378,0.32634,0.81691,0.98698,0.99822,0.9948,0.96513,0.28415,0.25061,0.79755,0.000127937,0.000127937,0.000127937
243,7006.63,0.34101,0.32235,0.81715,0.98617,0.99903,0.9948,0.96406,0.29062,0.25417,0.7974,0.000125875,0.000125875,0.000125875
244,7035.04,0.35855,0.33993,0.8293,0.98597,0.99863,0.995,0.96706,0.26896,0.25079,0.79667,0.000123812,0.000123812,0.000123812
245,7063.62,0.34059,0.32718,0.82514,0.98492,0.99902,0.995,0.97005,0.26471,0.24739,0.79671,0.00012175,0.00012175,0.00012175
246,7091.99,0.34021,0.32591,0.82227,0.98595,0.9972,0.995,0.96374,0.28151,0.24965,0.79722,0.000119688,0.000119688,0.000119688
247,7120.6,0.33167,0.3135,0.81912,0.98689,0.99686,0.995,0.95903,0.29005,0.24902,0.79703,0.000117625,0.000117625,0.000117625
248,7149.15,0.34605,0.32651,0.81829,0.98963,0.99642,0.995,0.96237,0.27409,0.24604,0.79597,0.000115562,0.000115562,0.000115562
249,7178.46,0.34538,0.32252,0.82202,0.98844,0.99502,0.995,0.96563,0.26626,0.2475,0.79543,0.0001135,0.0001135,0.0001135
250,7207.38,0.33672,0.32247,0.80804,0.9858,0.99406,0.995,0.97004,0.26841,0.25135,0.79492,0.000111438,0.000111438,0.000111438
251,7235.6,0.33384,0.31351,0.80986,0.98396,0.9938,0.995,0.96539,0.27544,0.25039,0.79531,0.000109375,0.000109375,0.000109375
252,7264.32,0.34363,0.32583,0.81903,0.98404,0.99517,0.995,0.9643,0.27818,0.24721,0.79522,0.000107312,0.000107312,0.000107312
253,7292.75,0.34509,0.32656,0.81936,0.98702,0.99681,0.995,0.96147,0.28024,0.24372,0.79555,0.00010525,0.00010525,0.00010525
254,7321.11,0.34301,0.31377,0.82373,0.98873,0.99508,0.995,0.95222,0.27513,0.24082,0.79626,0.000103187,0.000103187,0.000103187
255,7349.79,0.34308,0.31836,0.82299,0.99037,0.9926,0.995,0.94702,0.28099,0.24275,0.79668,0.000101125,0.000101125,0.000101125
256,7378.34,0.33137,0.323,0.82338,0.99124,0.99244,0.995,0.95077,0.29365,0.24578,0.79746,9.90625e-05,9.90625e-05,9.90625e-05
257,7406.81,0.34233,0.3184,0.80912,0.99133,0.99258,0.99499,0.95848,0.27699,0.24446,0.79663,9.7e-05,9.7e-05,9.7e-05
258,7435.67,0.32564,0.30971,0.82821,0.99174,0.99266,0.995,0.96065,0.26499,0.24138,0.79594,9.49375e-05,9.49375e-05,9.49375e-05
259,7464.1,0.33785,0.31777,0.81859,0.99181,0.99271,0.995,0.9663,0.26423,0.24025,0.7957,9.2875e-05,9.2875e-05,9.2875e-05
260,7492.51,0.33412,0.31523,0.81523,0.99189,0.99286,0.995,0.96439,0.27773,0.24201,0.79588,9.08125e-05,9.08125e-05,9.08125e-05
261,7520.59,0.32975,0.3137,0.81617,0.99167,0.995,0.995,0.96143,0.28366,0.24393,0.7964,8.875e-05,8.875e-05,8.875e-05
262,7548.93,0.32561,0.31393,0.81417,0.99064,0.99401,0.995,0.96544,0.26727,0.24102,0.79602,8.66875e-05,8.66875e-05,8.66875e-05
263,7577.94,0.32582,0.30448,0.80906,0.98986,0.99389,0.995,0.96497,0.2611,0.2387,0.79591,8.4625e-05,8.4625e-05,8.4625e-05
264,7606.43,0.32193,0.3164,0.81808,0.99038,0.99392,0.995,0.9574,0.2678,0.23921,0.79602,8.25625e-05,8.25625e-05,8.25625e-05
265,7634.98,0.34265,0.3196,0.8216,0.99099,0.9954,0.995,0.95018,0.28279,0.24134,0.79624,8.05e-05,8.05e-05,8.05e-05
266,7663.3,0.32742,0.31202,0.8094,0.99147,0.99926,0.995,0.95166,0.27892,0.2395,0.79611,7.84375e-05,7.84375e-05,7.84375e-05
267,7692.38,0.33631,0.32059,0.81525,0.99154,0.99807,0.995,0.95983,0.26264,0.23617,0.79565,7.6375e-05,7.6375e-05,7.6375e-05
268,7721.33,0.34296,0.33178,0.82308,0.98928,0.99791,0.995,0.96707,0.26076,0.23594,0.7953,7.43125e-05,7.43125e-05,7.43125e-05
269,7749.72,0.33982,0.33368,0.81762,0.98913,0.99769,0.99487,0.96773,0.26574,0.23759,0.7951,7.225e-05,7.225e-05,7.225e-05
270,7778.05,0.33611,0.32084,0.81703,0.98953,0.99456,0.99487,0.9672,0.27761,0.23916,0.79592,7.01875e-05,7.01875e-05,7.01875e-05
271,7806.73,0.34675,0.33192,0.82886,0.99241,0.99822,0.995,0.96669,0.27562,0.23774,0.79581,6.8125e-05,6.8125e-05,6.8125e-05
272,7836.78,0.31753,0.30783,0.80902,0.9919,0.99743,0.995,0.96879,0.2607,0.23325,0.79524,6.60625e-05,6.60625e-05,6.60625e-05
273,7865.53,0.34002,0.3192,0.81881,0.99061,0.99564,0.995,0.9696,0.2597,0.2325,0.79549,6.4e-05,6.4e-05,6.4e-05
274,7894.45,0.32447,0.32037,0.8214,0.99015,0.9945,0.995,0.96591,0.2698,0.23355,0.79545,6.19375e-05,6.19375e-05,6.19375e-05
275,7922.89,0.31654,0.30248,0.82488,0.99023,0.99493,0.995,0.96471,0.28492,0.23785,0.79585,5.9875e-05,5.9875e-05,5.9875e-05
276,7951.24,0.31879,0.3042,0.82061,0.99036,0.99527,0.995,0.96742,0.27529,0.23688,0.79535,5.78125e-05,5.78125e-05,5.78125e-05
277,7979.95,0.32167,0.31416,0.81955,0.99086,0.99549,0.995,0.97059,0.25654,0.23351,0.79468,5.575e-05,5.575e-05,5.575e-05
278,8009.33,0.335,0.31331,0.80717,0.99066,0.99571,0.995,0.97277,0.25144,0.23319,0.79445,5.36875e-05,5.36875e-05,5.36875e-05
279,8037.59,0.31667,0.30968,0.81223,0.99073,0.99683,0.995,0.97147,0.25683,0.23417,0.79446,5.1625e-05,5.1625e-05,5.1625e-05
280,8066.15,0.32025,0.30874,0.81177,0.99105,0.99681,0.995,0.96847,0.2679,0.23642,0.79493,4.95625e-05,4.95625e-05,4.95625e-05
281,8094.36,0.34058,0.30987,0.82122,0.99171,0.99714,0.995,0.96734,0.26777,0.23635,0.79522,4.75e-05,4.75e-05,4.75e-05
282,8122.75,0.3148,0.30035,0.81578,0.99206,0.99719,0.995,0.96882,0.26151,0.23606,0.79512,4.54375e-05,4.54375e-05,4.54375e-05
283,8152.08,0.32722,0.30862,0.81445,0.99201,0.99674,0.995,0.96719,0.25723,0.23454,0.79481,4.3375e-05,4.3375e-05,4.3375e-05
284,8180.26,0.31974,0.30411,0.81869,0.99162,0.99648,0.995,0.96633,0.25959,0.23425,0.79463,4.13125e-05,4.13125e-05,4.13125e-05
285,8209.59,0.33711,0.3263,0.82639,0.99157,0.99617,0.995,0.96558,0.2697,0.23554,0.79446,3.925e-05,3.925e-05,3.925e-05
286,8239.19,0.31408,0.31028,0.81563,0.99117,0.9963,0.995,0.961,0.28379,0.23779,0.7948,3.71875e-05,3.71875e-05,3.71875e-05
287,8267.72,0.30943,0.29405,0.81584,0.99117,0.99663,0.995,0.96156,0.28556,0.23791,0.79508,3.5125e-05,3.5125e-05,3.5125e-05
288,8296.52,0.35819,0.33792,0.81868,0.99153,0.99652,0.995,0.96581,0.27312,0.23508,0.79447,3.30625e-05,3.30625e-05,3.30625e-05
289,8325.32,0.32966,0.31161,0.80936,0.99158,0.99619,0.995,0.97174,0.25489,0.23041,0.79387,3.1e-05,3.1e-05,3.1e-05
290,8354.28,0.33019,0.3022,0.81455,0.99161,0.99643,0.995,0.97313,0.24719,0.22881,0.79394,2.89375e-05,2.89375e-05,2.89375e-05
291,8382.63,0.2816,0.28768,0.79324,0.99176,0.99773,0.995,0.97303,0.24799,0.22922,0.79393,2.6875e-05,2.6875e-05,2.6875e-05
292,8410.69,0.27064,0.27512,0.793,0.99132,0.99888,0.995,0.97311,0.25491,0.23179,0.794,2.48125e-05,2.48125e-05,2.48125e-05
293,8439.69,0.27224,0.26724,0.79364,0.99138,0.99887,0.995,0.96586,0.26714,0.23445,0.79434,2.275e-05,2.275e-05,2.275e-05
294,8468.66,0.27898,0.27088,0.78852,0.991,0.99899,0.995,0.96422,0.27583,0.23662,0.79465,2.06875e-05,2.06875e-05,2.06875e-05
295,8497.87,0.26621,0.26369,0.79886,0.99073,0.9991,0.995,0.96385,0.27105,0.23547,0.79435,1.8625e-05,1.8625e-05,1.8625e-05
296,8526.22,0.27833,0.27151,0.79674,0.99064,0.99924,0.995,0.96606,0.26467,0.234,0.79417,1.65625e-05,1.65625e-05,1.65625e-05
297,8554.1,0.26906,0.27104,0.78833,0.99013,0.99945,0.995,0.95999,0.26092,0.23347,0.79406,1.45e-05,1.45e-05,1.45e-05
298,8582.42,0.27272,0.2727,0.79166,0.99008,0.99946,0.995,0.9606,0.2583,0.23268,0.79395,1.24375e-05,1.24375e-05,1.24375e-05
299,8611.46,0.27593,0.28219,0.79085,0.99036,0.99944,0.995,0.96193,0.25653,0.23212,0.79374,1.0375e-05,1.0375e-05,1.0375e-05
300,8639.82,0.2714,0.27414,0.79463,0.99002,0.99946,0.995,0.96218,0.25836,0.23284,0.79379,8.3125e-06,8.3125e-06,8.3125e-06
